"","MouseID","ARC_N","BRAF_N","DYRK1A_N","ITSN1_N","pERK_N","pNUMB_N","S6_N","SOD1_N","Genotype","Treatment","Behavior","class"
"1","309",0.106305209,0.416289147,0.503643884,0.747193224,0.687906244,0.394721292,0.354604528,0.369509553,"Control","Memantine","C/S","c-CS-m"
"2","309",0.106592156,0.400364229,0.51461708,0.689063548,0.69500623,0.368254577,0.354548277,0.342279306,"Control","Memantine","C/S","c-CS-m"
"3","309",0.108303056,0.399846949,0.509183088,0.730246795,0.677348383,0.363879855,0.386086771,0.343696193,"Control","Memantine","C/S","c-CS-m"
"4","309",0.103183762,0.385638659,0.442106692,0.61707615,0.583276775,0.366770734,0.290679519,0.344509298,"Control","Memantine","C/S","c-CS-m"
"5","309",0.104783757,0.367530549,0.434940244,0.617429838,0.550960118,0.35155096,0.309345015,0.329125822,"Control","Memantine","C/S","c-CS-m"
"6","309",0.106476244,0.36940449,0.447506385,0.62817583,0.566339562,0.347224089,0.332367081,0.327597795,"Control","Memantine","C/S","c-CS-m"
"7","309",0.097834083,0.395977373,0.428032684,0.573695789,0.509899434,0.360307982,0.266857376,0.345380264,"Control","Memantine","C/S","c-CS-m"
"8","309",0.099493671,0.360718673,0.416922604,0.564035627,0.501074939,0.338298526,0.288607595,0.328163391,"Control","Memantine","C/S","c-CS-m"
"9","309",0.105145028,0.326566125,0.386310905,0.538428074,0.476653132,0.312064965,0.294112569,0.309164733,"Control","Memantine","C/S","c-CS-m"
"10","309",0.09330036,0.335418769,0.380827447,0.499293643,0.455499495,0.358627649,0.24977518,0.373965691,"Control","Memantine","C/S","c-CS-m"
"11","309",0.094356865,0.346036894,0.366511251,0.513277924,0.461179809,0.341374417,0.275416952,0.34684776,"Control","Memantine","C/S","c-CS-m"
"12","309",0.098414952,0.323125245,0.364153907,0.499411072,0.447192776,0.330977621,0.287319612,0.333922261,"Control","Memantine","C/S","c-CS-m"
"13","309",0.097651934,0.384969646,0.364873351,0.482101737,0.471844254,0.32593678,0.244889503,0.322378062,"Control","Memantine","C/S","c-CS-m"
"14","309",0.094642104,0.343359458,0.381910612,0.485914001,0.463249312,0.329379369,0.254957109,0.339970345,"Control","Memantine","C/S","c-CS-m"
"15","309",0.099140401,0.351817622,0.37440953,0.46231259,0.426987061,0.30971452,0.269770774,0.326966523,"Control","Memantine","C/S","c-CS-m"
"16","311",0.138655462,0.537612248,0.743117916,0.862652731,1.081554541,0.523332843,0.294117647,0.387163256,"Control","Memantine","C/S","c-CS-m"
"17","311",0.111362126,0.555325035,0.711479945,0.807053942,1.07593361,0.474965422,0.380730897,0.362102351,"Control","Memantine","C/S","c-CS-m"
"18","311",0.112036285,0.528130171,0.704633205,0.802537231,1.065637066,0.457253172,0.400961278,0.35314396,"Control","Memantine","C/S","c-CS-m"
"19","311",0.111507213,0.520701231,0.677359194,0.770234987,0.977620291,0.497762029,0.283037639,0.398358821,"Control","Memantine","C/S","c-CS-m"
"20","311",0.100578325,0.487682334,0.591572123,0.678768233,0.838573744,0.4273906,0.353029922,0.327066451,"Control","Memantine","C/S","c-CS-m"
"21","311",0.110682219,0.504524887,0.618517229,0.716672468,0.871388792,0.432822833,0.362339515,0.36407936,"Control","Memantine","C/S","c-CS-m"
"22","311",0.104897419,0.492081975,0.702608291,0.69958081,0.886353051,0.505822077,0.243437017,0.4035864,"Control","Memantine","C/S","c-CS-m"
"23","311",0.112351946,0.473076923,0.598868778,0.690271493,0.850452489,0.484162896,0.323068246,0.381447964,"Control","Memantine","C/S","c-CS-m"
"24","311",0.1036046,0.39379223,0.561866554,0.641891892,0.822212838,0.421030405,0.312030075,0.357896959,"Control","Memantine","C/S","c-CS-m"
"25","311",0.10426346,0.469527193,0.55097021,0.561355562,0.711943154,0.491117792,0.251571468,0.399836021,"Control","Memantine","C/S","c-CS-m"
"26","311",0.097980349,0.498261144,0.538412899,0.701865318,0.839076826,0.562440721,0.29121179,0.447992412,"Control","Memantine","C/S","c-CS-m"
"27","311",0.110078829,0.445920808,0.521126761,0.583045442,0.733988839,0.450969971,0.313907658,0.386925326,"Control","Memantine","C/S","c-CS-m"
"28","311",0.075444952,0.430232558,0.488372093,0.540085679,0.685740514,0.480110159,0.170105528,0.382802938,"Control","Memantine","C/S","c-CS-m"
"29","311",0.091461465,0.40676359,0.514854614,0.564791403,0.686156764,0.474399494,0.232651103,0.408343869,"Control","Memantine","C/S","c-CS-m"
"30","311",0.09317177,0.421198157,0.485099846,0.556374808,0.695852535,0.459293395,0.239233666,0.361290323,"Control","Memantine","C/S","c-CS-m"
"31","320",0.148773385,0.534547503,0.627581675,0.954187007,1.022812617,0.488265115,0.676686905,0.358148704,"Control","Memantine","C/S","c-CS-m"
"32","320",0.14766011,0.550037979,0.651253323,0.962020509,1.053551082,0.506551462,0.637341343,0.395366502,"Control","Memantine","C/S","c-CS-m"
"33","320",0.14316874,0.555031595,0.64434594,0.9671791,1.025841743,0.539469961,0.590310006,0.383853626,"Control","Memantine","C/S","c-CS-m"
